lon,lat,alt,distance_from_start_km,distance_from_start_mi,cumulative_distance_mi
-77.88682,34.21039,0,0,0,0
-77.88681,34.21041,0,0.002406514,0.001495408,0.001495408
-77.88653,34.21224,0,0.205109164,0.127454835,0.128950243
-77.88711,34.21234,0,0.054480005,0.033853875,0.162804118
-77.88728,34.21241,0,0.017462771,0.010851366,0.173655484
-77.88736,34.21246,0,0.009220941,0.005729893,0.179385377
-77.88746,34.21254,0,0.012793987,0.007950184,0.187335561
-77.88758,34.21267,0,0.018185573,0.011300515,0.198636076
-77.88769,34.21288,0,0.025447523,0.015813091,0.214449167
-77.88772,34.21305,0,0.019103362,0.011870829,0.226319996
-77.88767,34.21344,0,0.043609059,0.02709867,0.253418666
-77.89177,34.21389,0,0.380310364,0.23632486,0.489743526
-77.89156,34.2151,0,0.135924451,0.084463454,0.57420698
-77.89171,34.21516,0,0.015321465,0.009520758,0.583727738
-77.89476,34.21659,0,0.32238845,0.200332183,0.784059921
-77.89482,34.21665,0,0.008657261,0.005379622,0.789439543
-77.89494,34.21672,0,0.013503019,0.008390776,0.797830319
-77.89408,34.21798,0,0.16088043,0.099971099,0.897801418
-77.89693,34.21962,0,0.319255671,0.198385474,1.096186892
-77.89731,34.21982,0,0.041416547,0.025736242,1.121923134
-77.89824,34.22036,0,0.104485575,0.064927336,1.18685047
-77.89882,34.22073,0,0.067353878,0.0418537,1.22870417
-77.89936,34.22113,0,0.066658878,0.041421827,1.270125997
-77.903,34.22405,0,0.466291303,0.289753416,1.559879413
-77.90293,34.2241,0,0.00850477,0.005284864,1.565164277
-77.90295,34.22415,0,0.005855939,0.003638881,1.568803158
-77.90312,34.22435,0,0.027182105,0.01689096,1.585694118
-77.90386,34.2249,0,0.091482658,0.056847324,1.642541442
-77.9042,34.22511,0,0.03901828,0.024245959,1.666787401
-77.90465,34.22532,0,0.047507665,0.029521263,1.696308664
-77.90479,34.22537,0,0.014020952,0.008712619,1.705021283
-77.90507,34.22544,0,0.026894041,0.016711957,1.72173324
-77.90657,34.22568,0,0.140467261,0.087286356,1.809019596
-77.9066,34.22568,0,0.002758174,0.001713929,1.810733525
-77.90773,34.22772,0,0.249496384,0.155037053,1.965770578
-77.90783,34.22788,0,0.020026237,0.012444304,1.978214882
-77.90786,34.22794,0,0.007219324,0.004486088,1.98270097
-77.90794,34.22806,0,0.015236176,0.00946776,1.99216873
-77.90803,34.22817,0,0.014767259,0.009176375,2.001345105
-77.90827,34.22842,0,0.035491138,0.022054193,2.023399298
-77.90856,34.22864,0,0.036183775,0.022484598,2.045883896
-77.9087,34.22873,0,0.016303806,0.010131185,2.056015081
-77.90881,34.22878,0,0.011540462,0.007171243,2.063186324
-77.90884,34.2288,0,0.003542977,0.002201606,2.06538793
-77.90921,34.22898,0,0.039467767,0.02452527,2.0899132
-77.90922,34.22898,0,0.000919355,0.000571287,2.090484487
-77.90958,34.22917,0,0.039265086,0.024399324,2.114883811
-77.91232,34.23048,0,0.290985281,0.180818253,2.295702064
-77.91233,34.23048,0,0.000919339,0.000571277,2.296273341
-77.91253,34.23059,0,0.02208351,0.013722693,2.309996034
-77.91284,34.23082,0,0.038292164,0.02379475,2.333790784
-77.91284,34.23151,0,0.076724499,0.047676604,2.381467388
-77.91282,34.23185,0,0.037850959,0.023520586,2.404987974
-77.91282,34.23214,0,0.032246529,0.020037993,2.425025967
-77.91283,34.23228,0,0.015594411,0.009690367,2.434716334
-77.91286,34.23241,0,0.014716086,0.009144576,2.44386091
-77.91288,34.23246,0,0.005855882,0.003638845,2.447499755
-77.91297,34.23263,0,0.020634563,0.012822317,2.460322072
-77.91386,34.23366,0,0.14075361,0.087464293,2.547786365
-77.91408,34.23398,0,0.040928501,0.025432971,2.573219336
-77.91409,34.23401,0,0.003460201,0.002150169,2.575369505
-77.91418,34.23418,0,0.020634502,0.012822279,2.588191784
-77.91429,34.23444,0,0.030628181,0.019032352,2.607224136
-77.91524,34.23843,0,0.452181144,0.280985363,2.888209499
-77.91619,34.23827,0,0.089122883,0.055380959,2.943590458
-77.91621,34.23836,0,0.01017502,0.006322757,2.949913215
-77.91827,34.23801,0,0.193324346,0.120131748,3.070044963
-77.91882,34.24027,0,0.256335941,0.159287154,3.229332117
-77.91886,34.24036,0,0.010661647,0.006625147,3.235957264
-77.91986,34.24325,0,0.334241734,0.207697813,3.443655077
-77.91994,34.24355,0,0.03415938,0.021226639,3.464881716
-77.92,34.24409,0,0.060298012,0.037469185,3.502350901
-77.92016,34.24774,0,0.40612785,0.252367846,3.754718747
-77.92016,34.24837,0,0.070052804,0.043530812,3.798249559
-77.91985,34.25452,0,0.684442106,0.425312325,4.223561884
-77.91984,34.25459,0,0.007837718,0.004870358,4.228432242
-77.91957,34.2612,0,0.735417215,0.456988258,4.6854205
-77.91963,34.26205,0,0.094676393,0.05883191,4.74425241
-77.91973,34.26287,0,0.091641788,0.056946207,4.801198617
-77.91976,34.26297,0,0.011456174,0.007118866,4.808317483
-77.91978,34.2631,0,0.014571719,0.009054866,4.817372349
-77.91985,34.26339,0,0.032881916,0.020432823,4.837805172
-77.91999,34.26385,0,0.052742905,0.032774441,4.870579613
-77.92034,34.26478,0,0.108297792,0.067296248,4.937875861
-77.92079,34.26565,0,0.105207573,0.065375986,5.003251847
-77.92136,34.26651,0,0.109033601,0.06775348,5.071005327
-77.92389,34.26999,0,0.451428418,0.280517619,5.351522946
-77.9239,34.26999,0,0.000918907,0.000571009,5.352093955
-77.92588,34.27276,0,0.357732496,0.222294973,5.574388928
-77.92592,34.2728,0,0.005769944,0.003585443,5.577974371
-77.92605,34.27297,0,0.022361146,0.013895216,5.591869587
-77.92621,34.27311,0,0.021412354,0.013305637,5.605175224
-77.92628,34.27315,0,0.007820164,0.00485945,5.610034674
-77.92637,34.27319,0,0.009390069,0.005834989,5.615869663
-77.92648,34.27322,0,0.010643842,0.006614083,5.622483746
-77.92112,34.28645,0,1.551352525,0.964010459,6.586494205
-77.92104,34.28674,0,0.033073528,0.020551891,6.607046096
-77.92097,34.28716,0,0.047142582,0.0292944,6.636340496
-77.92099,34.28805,0,0.098980541,0.061506508,6.697847004
-77.92145,34.29703,0,0.999424241,0.621042223,7.318889227
-77.92147,34.2972,0,0.018992209,0.011801758,7.330690985
-77.92161,34.29998,0,0.309389293,0.192254506,7.522945491
-77.92161,34.30025,0,0.03002263,0.018656062,7.541601553
-77.92216,34.31137,0,1.237519151,0.7689944,8.310595953
-77.92216,34.31167,0,0.033358478,0.020728958,8.331324911
-77.92231,34.3149,0,0.359423733,0.223345907,8.554670818
-77.92238,34.31499,0,0.011894613,0.007391313,8.562062131
-77.92258,34.31861,0,0.402944495,0.250389709,8.81245184
-77.92255,34.3187,0,0.010379867,0.006450049,8.818901889
-77.92278,34.3233,0,0.511932589,0.318114911,9.1370168
-77.92279,34.32397,0,0.07450626,0.04629819,9.18331499
-77.92278,34.32412,0,0.0167045,0.010380176,9.193695166
-77.92272,34.32454,0,0.047025773,0.029221816,9.222916982
-77.92265,34.32487,0,0.037253118,0.023149088,9.24606607
-77.92264,34.32489,0,0.002406037,0.001495111,9.247561181
-77.92249,34.32536,0,0.054046417,0.033584443,9.281145624
-77.92226,34.32587,0,0.060514867,0.037603938,9.318749562
-77.92209,34.32618,0,0.037840639,0.023514173,9.342263735
-77.92183,34.32656,0,0.04853297,0.030158387,9.372422122
-77.92148,34.32698,0,0.056692557,0.035228755,9.407650877
-77.92117,34.32729,0,0.044705332,0.027779893,9.43543077
-77.92081,34.32761,0,0.04856892,0.030180727,9.465611497
-77.92039,34.3279,0,0.050272228,0.031239163,9.49685066
-77.91614,34.33049,0,0.485019888,0.301391358,9.798242018
-77.91594,34.33063,0,0.024075093,0.014960263,9.813202281
-77.91568,34.33086,0,0.0349865,0.021740611,9.834942892
-77.90412,34.34357,0,1.767474622,1.09830873,10.93325162
-77.90392,34.34385,0,0.036145897,0.022461061,10.95571268
-77.9038,34.34405,0,0.024818355,0.015422126,10.97113481
-77.90311,34.34544,0,0.167039158,0.103798133,11.07493294
-77.90186,34.3478,0,0.286415466,0.17797857,11.25291151
-77.90155,34.34816,0,0.049115867,0.0305206,11.28343211
-77.90153,34.34821,0,0.005855088,0.003638352,11.28707046
-77.90145,34.34834,0,0.016214105,0.010075445,11.29714591
-77.90141,34.34839,0,0.00666302,0.004140401,11.30128631
-77.90138,34.34844,0,0.006204524,0.003855491,11.3051418
-77.90136,34.34846,0,0.002883918,0.001792067,11.30693387
-77.90135,34.34851,0,0.005635033,0.003501609,11.31043548
-77.90133,34.34856,0,0.005855086,0.00363835,11.31407383
-77.90127,34.34865,0,0.011423315,0.007098448,11.32117228
-77.90123,34.34869,0,0.005767829,0.003584129,11.3247564
-77.90118,34.34878,0,0.011010047,0.006841643,11.33159805
-77.90116,34.34886,0,0.009083106,0.005644242,11.33724229
-77.9011,34.34897,0,0.013414513,0.008335778,11.34557807
-77.90105,34.34901,0,0.006391634,0.003971761,11.34954983
-77.90093,34.34907,0,0.01287925,0.008003166,11.35755299
-77.9009,34.34908,0,0.002970126,0.001845636,11.35939863
-77.90085,34.34913,0,0.007209772,0.004480152,11.36387878
-77.90083,34.34918,0,0.005855082,0.003638348,11.36751713
-77.90073,34.34976,0,0.065143179,0.040479972,11.4079971
-77.90063,34.35055,0,0.088322392,0.054883534,11.46288064
-77.90053,34.35115,0,0.067345592,0.041848551,11.50472919
-77.90053,34.35119,0,0.004447797,0.002763861,11.50749305
-77.9005,34.35143,0,0.026828514,0.016671239,11.52416429
-77.90042,34.3516,0,0.020279664,0.012601783,11.53676607
-77.90037,34.35215,0,0.061329218,0.038109976,11.57487605
-77.90035,34.35227,0,0.013469114,0.008369708,11.58324575
-77.90034,34.35242,0,0.016704483,0.010380166,11.59362592
-77.89922,34.36008,0,0.857935721,0.533121257,12.12674718
-77.89918,34.36027,0,0.021443715,0.013325124,12.1400723
-77.89916,34.36042,0,0.016779968,0.010427072,12.15049937
-77.89905,34.36087,0,0.051046293,0.031720166,12.18221954
-77.89895,34.36085,0,0.009444692,0.005868932,12.18808847
-77.89866,34.3617,0,0.098192694,0.06101694,12.24910541
-77.8975,34.36474,0,0.354405045,0.220227295,12.46933271
-77.89642,34.36772,0,0.345870568,0.214923971,12.68425668
-77.89622,34.36843,0,0.08105441,0.05036721,12.73462389
-77.89615,34.36877,0,0.038348305,0.023829637,12.75845352
-77.89607,34.36934,0,0.063805003,0.039648429,12.79810195
-77.89604,34.36983,0,0.054555043,0.033900504,12.83200246
-77.89604,34.37028,0,0.050037717,0.031093437,12.86309589
-77.89629,34.37381,0,0.393188141,0.244327111,13.10742301
-77.8963,34.37385,0,0.004541498,0.002822087,13.11024509
-77.89652,34.37719,0,0.371939476,0.231123191,13.34136828
-77.8965,34.37825,0,0.117880912,0.073251199,13.41461948
-77.89644,34.37877,0,0.058082953,0.036092747,13.45071223
-77.89634,34.37933,0,0.062941783,0.039112024,13.48982425
-77.89624,34.37977,0,0.049779008,0.030932676,13.52075693
-77.89607,34.38033,0,0.064193752,0.039889998,13.56064693
-77.89355,34.38771,0,0.852579305,0.52979278,14.09043971
-77.8935,34.38783,0,0.014110162,0.008768055,14.09920776
-77.89291,34.3896,0,0.204125378,0.12684351,14.22605127
-77.89268,34.39012,0,0.061552564,0.038248763,14.26430004
-77.89267,34.39016,0,0.004541462,0.002822064,14.2671221
-77.89174,34.39213,0,0.235088774,0.146084164,14.41320626
-77.89153,34.39263,0,0.058841902,0.036564358,14.44977062
-77.89145,34.39287,0,0.027677924,0.017199062,14.46696968
-77.8913,34.39342,0,0.062686803,0.038953579,14.50592326
-77.89032,34.39817,0,0.535775164,0.332930687,14.83885395
-77.88743,34.40885,0,1.216800422,0.756119782,15.59497373
-77.88739,34.40891,0,0.00761427,0.004731507,15.59970524
-77.88734,34.40904,0,0.015165645,0.009423932,15.60912917
-77.8872,34.40963,0,0.066850344,0.041540804,15.65066997
-77.8871,34.41054,0,0.101602382,0.06313572,15.71380569
-77.88711,34.41095,0,0.045599149,0.028335311,15.74214101
-77.88717,34.41142,0,0.052550665,0.032654983,15.77479599
-77.88719,34.41148,0,0.006919372,0.004299698,15.77909569
-77.88722,34.41154,0,0.007217024,0.004484659,15.78358035
-77.88752,34.41327,0,0.194325818,0.120754063,15.90433441
-77.88754,34.41347,0,0.022314536,0.013866252,15.91820066
-77.88755,34.41397,0,0.055605031,0.034552966,15.95275363
-77.88751,34.41435,0,0.042413093,0.026355496,15.97910912
-77.88738,34.41491,0,0.063400779,0.039397244,16.01850637
